document_title,question_text,short_answer,yes_no_answer
Nathan's Hot Dog Eating Contest,where is nathan's hotdog eating contest held,"[{'short_answer1': [{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}]}, {'short_answer2': [{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}]}, {'short_answer3': [{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}]}, {'short_answer4': [{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}]}]",NONE
My Country My Life,who wrote the book my country my life,"[{'short_answer1': [{'end_byte': 41074, 'end_token': 148, 'start_byte': 41062, 'start_token': 146}]}, {'short_answer2': [{'end_byte': 41074, 'end_token': 148, 'start_byte': 41062, 'start_token': 146}]}, {'short_answer3': [{'end_byte': 41455, 'end_token': 178, 'start_byte': 41062, 'start_token': 146}]}, {'short_answer4': [{'end_byte': 41074, 'end_token': 148, 'start_byte': 41062, 'start_token': 146}]}]",NONE
Parole,what does it mean to be on parole,"[{'short_answer1': [{'end_byte': 49089, 'end_token': 336, 'start_byte': 48926, 'start_token': 318}]}]",NONE
East India Company,when did the east india company take control of india,"[{'short_answer1': [{'end_byte': 69060, 'end_token': 893, 'start_byte': 69053, 'start_token': 891}]}, {'short_answer2': [{'end_byte': 61681, 'end_token': 278, 'start_byte': 61677, 'start_token': 277}]}, {'short_answer3': [{'end_byte': 69060, 'end_token': 893, 'start_byte': 69056, 'start_token': 892}]}, {'short_answer4': [{'end_byte': 142003, 'end_token': 6459, 'start_byte': 141999, 'start_token': 6458}]}]",NONE
Stations of the Cross,the origins of the stations of the cross,"[{'short_answer1': [{'end_byte': 72264, 'end_token': 654, 'start_byte': 72103, 'start_token': 644}]}, {'short_answer2': [{'end_byte': 62834, 'end_token': 296, 'start_byte': 62539, 'start_token': 274}]}]",NONE
Lake Eyre,where does the water come from to fill lake eyre,[],NONE
Area code 808,is area code 808 a toll free number,[],NO
Google,who is the founder of google and when was it founded,"[{'short_answer1': [{'end_byte': 49425, 'end_token': 290, 'start_byte': 49421, 'start_token': 289}, {'end_byte': 49485, 'end_token': 293, 'start_byte': 49475, 'start_token': 291}, {'end_byte': 49553, 'end_token': 296, 'start_byte': 49542, 'start_token': 294}]}, {'short_answer2': [{'end_byte': 49553, 'end_token': 296, 'start_byte': 49421, 'start_token': 289}]}]",NONE
Tabula rasa,the tabula rasa concept is consistent with the perspective of language development,[],NONE
Dominican War of Independence,who did the dominican republic gain its independence from,"[{'short_answer1': [{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}]}, {'short_answer2': [{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}]}, {'short_answer3': [{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}]}, {'short_answer4': [{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}]}]",NONE
Prehistoric technology,how did early humans make use of stones during the prehistoric period,"[{'short_answer1': [{'end_byte': 44999, 'end_token': 124, 'start_byte': 44988, 'start_token': 122}, {'end_byte': 45005, 'end_token': 126, 'start_byte': 45001, 'start_token': 125}, {'end_byte': 45026, 'end_token': 131, 'start_byte': 45011, 'start_token': 128}]}, {'short_answer2': [{'end_byte': 45026, 'end_token': 131, 'start_byte': 44985, 'start_token': 121}]}]",NONE
Jeanie with the Light Brown Hair,who wrote the text for jeanie with the light brown hair,"[{'short_answer1': [{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}]}, {'short_answer2': [{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}]}, {'short_answer3': [{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}]}, {'short_answer4': [{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}]}]",NONE
Stefan Salvatore,who does stefan end up with in the vampire diaries,[],NONE
The Washington Post,who owns the washington post and new york times,[],NONE
Bed,how many types of bed sizes are there,[],NONE
Troubadour,who were the troubadours and what did they do,[],NONE
Rational planning model,the basic steps of rational decision making include defining goals and,"[{'short_answer1': [{'end_byte': 43106, 'end_token': 119, 'start_byte': 43062, 'start_token': 113}, {'end_byte': 43157, 'end_token': 128, 'start_byte': 43117, 'start_token': 122}, {'end_byte': 43200, 'end_token': 136, 'start_byte': 43168, 'start_token': 131}, {'end_byte': 43250, 'end_token': 146, 'start_byte': 43211, 'start_token': 139}]}]",NONE
Art Deco,when was the design period known as art deco,"[{'short_answer1': [{'end_byte': 45764, 'end_token': 117, 'start_byte': 45753, 'start_token': 114}]}]",NONE
The Bob & Tom Show,where does the bob and tom show broadcast from,"[{'short_answer1': [{'end_byte': 44330, 'end_token': 163, 'start_byte': 44117, 'start_token': 156}]}, {'short_answer2': [{'end_byte': 44330, 'end_token': 163, 'start_byte': 44265, 'start_token': 160}]}, {'short_answer3': [{'end_byte': 44330, 'end_token': 163, 'start_byte': 44117, 'start_token': 156}]}]",NONE
List of Star Wars: The Clone Wars episodes,star wars the clone wars season 3 episode 1,"[{'short_answer1': [{'end_byte': 119752, 'end_token': 6431, 'start_byte': 119740, 'start_token': 6429}]}]",NONE
Frontal lobe,what part of brain is responsible for complex thinking,"[{'short_answer1': [{'end_byte': 56389, 'end_token': 874, 'start_byte': 56373, 'start_token': 871}]}]",NONE
2016 UEFA Champions League Final,who won the champions league final in 2016,"[{'short_answer1': [{'end_byte': 47719, 'end_token': 285, 'start_byte': 47708, 'start_token': 283}]}, {'short_answer2': [{'end_byte': 47719, 'end_token': 285, 'start_byte': 47708, 'start_token': 283}]}, {'short_answer3': [{'end_byte': 47390, 'end_token': 252, 'start_byte': 47379, 'start_token': 250}]}, {'short_answer4': [{'end_byte': 47390, 'end_token': 252, 'start_byte': 47379, 'start_token': 250}]}]",NONE
Capital gains tax in the United States,what is the federal long term capital gains tax rate for 2017,[],NONE
Brooke Smith (actress),who played the girl in the pit in silence of the lambs,[],NONE
All-time Olympic Games medal table,who has the most gold medals in the winter olympics of all time,"[{'short_answer1': [{'end_byte': 133179, 'end_token': 5612, 'start_byte': 133173, 'start_token': 5611}]}, {'short_answer2': [{'end_byte': 133179, 'end_token': 5612, 'start_byte': 133173, 'start_token': 5611}]}]",NONE
The Strangers: Prey at Night,where was the movie strangers prey at night filmed,"[{'short_answer1': [{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}]}, {'short_answer2': [{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}]}, {'short_answer3': [{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}]}]",NONE
Rain shadow,what effect do the atlas mountains have on rainfall,[],NONE
List of Marvel Cinematic Universe films,what order do the captain america movies go in,"[{'short_answer1': [{'end_byte': 212362, 'end_token': 10144, 'start_byte': 212328, 'start_token': 10138}, {'end_byte': 213903, 'end_token': 10302, 'start_byte': 213868, 'start_token': 10296}, {'end_byte': 215653, 'end_token': 10459, 'start_byte': 215627, 'start_token': 10454}]}]",NONE
Limit of a function,when does a limit of a function not exist,"[{'short_answer1': [{'end_byte': 75450, 'end_token': 818, 'start_byte': 75359, 'start_token': 801}]}, {'short_answer2': [{'end_byte': 75450, 'end_token': 818, 'start_byte': 75359, 'start_token': 801}]}]",NONE
I Don't Like Mondays,when was i don't like mondays released,"[{'short_answer1': [{'end_byte': 44234, 'end_token': 81, 'start_byte': 44222, 'start_token': 78}]}, {'short_answer2': [{'end_byte': 47401, 'end_token': 287, 'start_byte': 47397, 'start_token': 286}]}, {'short_answer3': [{'end_byte': 44234, 'end_token': 81, 'start_byte': 44222, 'start_token': 78}]}]",NONE
B-type main-sequence star,if a star is class b what is its temperature,[],NONE
Remote Play,what ps3 games are compatible with remote play,[],NONE
Robert Carradine,pictures of the cast of revenge of the nerds,[],NONE
World economy,what do the economic systems of the uk germany and russia have in common,[],NONE
Flag of Uruguay,what does the sun represent on the uruguay flag,"[{'short_answer1': [{'end_byte': 60375, 'end_token': 397, 'start_byte': 60291, 'start_token': 392}]}, {'short_answer2': [{'end_byte': 60375, 'end_token': 397, 'start_byte': 60291, 'start_token': 392}]}, {'short_answer3': [{'end_byte': 60375, 'end_token': 397, 'start_byte': 60291, 'start_token': 392}, {'end_byte': 60775, 'end_token': 426, 'start_byte': 60597, 'start_token': 417}]}]",NONE
The Originals (season 2),who dies in season 2 of the originals,"[{'short_answer1': [{'end_byte': 75706, 'end_token': 3416, 'start_byte': 75703, 'start_token': 3415}]}, {'short_answer2': [{'end_byte': 75706, 'end_token': 3416, 'start_byte': 75703, 'start_token': 3415}]}]",NONE
Nix v. Hedden,pizza is defined as a vegetable in the united states,[],NONE
Beryl Markham,when did beryl markham fly across the atlantic,"[{'short_answer1': [{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}]}, {'short_answer2': [{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}]}, {'short_answer3': [{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}]}, {'short_answer4': [{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}]}]",NONE
Tropic of Cancer,what are the states through which the tropic of cancer passes,[],NONE
List of NYPD Blue characters,who played john clark sr on nypd blue,"[{'short_answer1': [{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}]}, {'short_answer2': [{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}]}, {'short_answer3': [{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}]}, {'short_answer4': [{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}]}]",NONE
Parable of the Pearl,what does the pearl symbolize in the bible,"[{'short_answer1': [{'end_byte': 43084, 'end_token': 91, 'start_byte': 42989, 'start_token': 87}]}]",NONE
Mom and Dad (2017 film),where is mom and dad or where are mom and dad,[],NONE
Boom (P.O.D. song),when did the song here comes the boom come out,"[{'short_answer1': [{'end_byte': 48655, 'end_token': 266, 'start_byte': 48647, 'start_token': 264}]}, {'short_answer2': [{'end_byte': 44882, 'end_token': 56, 'start_byte': 44868, 'start_token': 52}]}, {'short_answer3': [{'end_byte': 48655, 'end_token': 266, 'start_byte': 48647, 'start_token': 264}]}]",NONE
Archie Marries Veronica/Archie Marries Betty,does archie end up with betty or veronica in riverdale,"[{'short_answer1': [{'end_byte': 50313, 'end_token': 396, 'start_byte': 50308, 'start_token': 395}]}, {'short_answer2': [{'end_byte': 93014, 'end_token': 5588, 'start_byte': 92939, 'start_token': 5575}]}]",NONE
4-bolt main,what is the difference between a chevy 2 bolt main and a 4 bolt main,[],NONE
United States Declaration of Independence,who wrote most of the declaration of independance,"[{'short_answer1': [{'end_byte': 99802, 'end_token': 3719, 'start_byte': 99786, 'start_token': 3717}]}, {'short_answer2': [{'end_byte': 99802, 'end_token': 3719, 'start_byte': 99786, 'start_token': 3717}]}, {'short_answer3': [{'end_byte': 63190, 'end_token': 472, 'start_byte': 63174, 'start_token': 470}]}, {'short_answer4': [{'end_byte': 61653, 'end_token': 310, 'start_byte': 61637, 'start_token': 308}]}]",NONE
Afro-Eurasia,when did african isolation from the european old world occur,[],NONE
Brant Daugherty,who does brant daugherty play in pretty little liars,"[{'short_answer1': [{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}]}, {'short_answer2': [{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}]}, {'short_answer3': [{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}]}, {'short_answer4': [{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}]}]",NONE
Judicial review,how does the power of judicial review check the legislative and executive branches,"[{'short_answer1': [{'end_byte': 53820, 'end_token': 144, 'start_byte': 53730, 'start_token': 131}]}]",NONE
Jason Gilkison,who is the choreographer for strictly come dancing,[],NONE
Green Room (White House),pictures of the green room in the white house,[],NONE
Vitruvian Man,who explained the workings of the human body,[],NONE
I Can Only Imagine (film),who played amy grant i i can only imagine,"[{'short_answer1': [{'end_byte': 68630, 'end_token': 1331, 'start_byte': 68617, 'start_token': 1329}]}, {'short_answer2': [{'end_byte': 68630, 'end_token': 1331, 'start_byte': 68617, 'start_token': 1329}]}, {'short_answer3': [{'end_byte': 68630, 'end_token': 1331, 'start_byte': 68617, 'start_token': 1329}]}]",NONE
Natural-language processing,art of learning from text objects or speech,"[{'short_answer1': [{'end_byte': 56422, 'end_token': 79, 'start_byte': 56378, 'start_token': 72}]}, {'short_answer2': [{'end_byte': 56422, 'end_token': 79, 'start_byte': 56378, 'start_token': 72}]}]",NONE
Economy of India,india gdp growth rate in last 10 years,"[{'short_answer1': [{'end_byte': 67150, 'end_token': 949, 'start_byte': 67118, 'start_token': 941}]}]",NONE
Climate of the United States,the climate of the united states can be best described as,[],NONE
Visa requirements for South African citizens,does a south african passport need a visa for singapore,[],NO
Tiger Zinda Hai,who played the villain in tiger zinda hai,"[{'short_answer1': [{'end_byte': 55355, 'end_token': 862, 'start_byte': 55339, 'start_token': 860}]}]",NONE
The Legend of Zelda: Majora's Mask,how long is a day in majora's mask,[],NONE
Here We Go Round the Mulberry Bush,here we go round the mulberry bush origin,[],NONE
From Under the Cork Tree,when did under the cork tree come out,"[{'short_answer1': [{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}]}, {'short_answer2': [{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}]}, {'short_answer3': [{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}]}, {'short_answer4': [{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}]}]",NONE
Division of Korea,when did korea separate into north and south,"[{'short_answer1': [{'end_byte': 54822, 'end_token': 510, 'start_byte': 54818, 'start_token': 509}]}, {'short_answer2': [{'end_byte': 54822, 'end_token': 510, 'start_byte': 54818, 'start_token': 509}]}, {'short_answer3': [{'end_byte': 66893, 'end_token': 1354, 'start_byte': 66879, 'start_token': 1351}]}, {'short_answer4': [{'end_byte': 54822, 'end_token': 510, 'start_byte': 54818, 'start_token': 509}]}]",NONE
Atom,who discovered the atom and in what year,"[{'short_answer1': [{'end_byte': 66328, 'end_token': 1095, 'start_byte': 66317, 'start_token': 1093}, {'end_byte': 66267, 'end_token': 1092, 'start_byte': 66256, 'start_token': 1090}]}]",NONE
Esophagus,what is the purpose of the muscles that line the esophagus,"[{'short_answer1': [{'end_byte': 97882, 'end_token': 2581, 'start_byte': 97850, 'start_token': 2575}]}, {'short_answer2': [{'end_byte': 97882, 'end_token': 2581, 'start_byte': 97850, 'start_token': 2575}]}, {'short_answer3': [{'end_byte': 97883, 'end_token': 2582, 'start_byte': 97850, 'start_token': 2575}]}]",NONE
